date,end_date,title,tag,location,attendance,organizer,url,description,status
# Source of truth for /speaking. Edit, then `npm run sync:events`.
# tag = workshop | live-stream | conference | podcast | panel | keynote | lecture
# attendance = offline | online | mixed
# status = upcoming | past | cancelled  (auto-flipped to past by date if empty)
# Lines starting with # are ignored.
# Descriptions and titles with commas MUST be wrapped in double quotes ("...").
#
# === eCornell Keynotes (host: Lutz Finger; live + recording) ===
2024-09-12,,"AI, Clones, Deep Fakes, and Neural Networks",live-stream,Online,online,eCornell,https://ecornell.cornell.edu/keynotes/view/K091124/,"Lutz Finger on neural networks, AI clones, and deepfakes: how brain-inspired models learn patterns from data, how they're trained and optimized, and how to deploy AI responsibly.",
2024-10-03,,AI in E-Commerce,live-stream,Online,online,eCornell,https://ecornell.cornell.edu/keynotes/view/K100324/,"How to prioritize AI for the enterprise layer. Lutz's framework for personalization in eCommerce with case studies from media, healthcare, and retail.",
2025-02-19,,"AI, Innovation, and Risk",live-stream,Online,online,eCornell,https://ecornell.cornell.edu/keynotes/view/K021925/,"Aneesh Chopra (former US CTO) with Lutz Finger moderating. AI's impact on citizens, enterprises, and government, plus the policy needed to keep U.S. AI leadership.",
2025-03-20,,"The Future of AI, with Martín Casado",live-stream,Online,online,eCornell,https://ecornell.cornell.edu/keynotes/view/K032025/,"Lutz Finger with Martín Casado (a16z) on what actually works in AI vs the hype: agents vs copilots, model constraints, and the open-source competitive landscape.",
2025-04-24,,"AI in the EU, with Lucilla Sioli",live-stream,Online,online,eCornell,https://ecornell.cornell.edu/keynotes/view/K042425/,"Lucilla Sioli (European Commission) with Lutz Finger on Europe's AI Continent Action Plan: AI factories, data spaces, talent, and the EU's strategy to become the AI Continent.",
2025-05-22,,"Disrupting Traditional Banking, with Colin Walsh",live-stream,Online,online,eCornell,https://ecornell.cornell.edu/keynotes/view/K052225/,"Lutz Finger with Colin Walsh (Varo Bank) on how AI is rewiring banking. Modernizing financial services and why successful implementation matters more than the tech itself.",
2025-10-21,,"After the Gold Rush, with Kurt Wagner",live-stream,Online,online,eCornell,https://ecornell.cornell.edu/keynotes/view/K102125/,"Kurt Wagner (Bloomberg, ""Battle for the Bird"") and Lutz Finger on where AI is creating real value. Where workflows, AI, and human expertise intersect, and why Lutz sold his own AI startup as part of that shift.",
2026-02-05,,"The Future of AI, with Richard Socher",live-stream,Online,online,eCornell,https://ecornell.cornell.edu/keynotes/view/K020526/,"Lutz Finger and Richard Socher on the rise of Reward Engineers, small teams achieving massive scale, and Socher's claim that AI will do for biology what calculus did for physics.",
2026-02-17,,"Reshaping Investing With AI, with Lila Tretikov",live-stream,Online,online,eCornell,https://ecornell.cornell.edu/keynotes/view/K021726/,"Lutz Finger with Lila Tretikov (Partner & Head of AI Strategy, NEA) on how venture firms use AI across sourcing, diligence, portfolio construction, and founder support, and how the risk/return landscape is shifting.",
2026-03-09,,"Humans in an Agentic Economy, with Emaad Manzoor",live-stream,Online,online,eCornell,https://ecornell.cornell.edu/keynotes/view/K030926/,"Lutz Finger and Cornell marketing professor Emaad Manzoor on the agentic economy: AIs that negotiate, bid, and transact, and how reputation, permissions, and embeddings reshape human identity.",
2026-03-24,,"Marketing to Humans Changed, with Alex Dees",live-stream,Online,online,eCornell,https://ecornell.cornell.edu/keynotes/view/K032426/,"Lutz Finger with Alex Dees (Meridian) on how AI assistants and browser agents reshape the buyer journey, and how brands stay visible when AI systems recommend on a buyer's behalf.",
2026-04-02,,"AI Needs Power, the Grid Needs AI, with Josh Wong",live-stream,Online,online,eCornell,https://ecornell.cornell.edu/keynotes/view/K040226/,"Lutz Finger with Josh Wong on the AI/energy collision: electricity demand may double by 2040 and AI can unlock grid capacity as experienced operators retire.",
2026-04-23,,"The Hidden Patterns, with Ben Orthlieb",live-stream,Online,online,eCornell,https://ecornell.cornell.edu/keynotes/view/K042326/,"Ben Orthlieb (Blue Moon) with Lutz Finger on patterns from 6000 startup pitches: radically lean teams, SMB software opportunities, and overlooked compliance plays in AI-driven startups.",
2026-04-30,,"AI on the Front Lines, with Alexander Fink",live-stream,Online,online,eCornell,https://ecornell.cornell.edu/keynotes/view/K043026/,"Lutz Finger with Alexander Fink on the new AI operating model for warfare: speed, accountability, and human judgment when autonomous systems shape battlefield decisions.",
2026-05-21,,"Tomorrow's Medicine, with Cyriac Roeding",live-stream,Online,online,eCornell,https://ecornell.cornell.edu/keynotes/view/K052126/,"Lutz Finger and Cyriac Roeding on BioAI: physical breakthroughs (cancer and autoimmune treatments) emerging from AI applied to biology and the path from research to funded companies.",
2026-05-28,,"Rethinking the AGI Race, with Benjamin Goertzel",live-stream,Online,online,eCornell,https://ecornell.cornell.edu/keynotes/view/K052826/,"Lutz Finger and Benjamin Goertzel on AGI claims vs the science: world models, symbolic reasoning, and evolutionary learning vs the scaling-only thesis.",
#
# === eCornell Workshops (Lutz instructs; live online, 3-hour sessions, multiple dates in 2026) ===
2026-06-15,,"Hands-On AI Agents: Vibe-Code AI Workflows and Agent Skills for Personal Productivity",workshop,Online,online,eCornell,https://ecornell.cornell.edu/courses/artificial-intelligence/hands-on-ai-agents-vibe-code-ai-workflows-and-agent-skills-for-personal-productivity/,"Vibe-code your own personal agent. What works, what doesn't, what's safe. Language models, agentic system design, planning, tool use, and hands-on automation of real workflows with Claude. No code required.",
2026-06-15,,"Building Enterprise-Ready AI Agents, From Prototypes to Production",workshop,Online,online,eCornell,https://ecornell.cornell.edu/courses/artificial-intelligence/building-enterprise-ready-ai-agents-from-prototypes-to-production/,"Production-grade agent architecture with Claude Code and LangGraph state machines. Enterprise design principles, OWASP LLM Top 10, RAG patterns, and a hands-on blueprint exercise for deployable agentic systems.",
#
# === In-person and partner events (from calendar + LinkedIn) ===
2025-11-04,,"Berkeley Emerging Tech Management, Lutz Finger session",lecture,"University Club, Memorial Stadium, UC Berkeley",offline,UC Berkeley SCET,https://scet.berkeley.edu/professional-programs/emerging-tech-management/,"Guest session in Berkeley SCET's Emerging Technology Management program: applied AI and what's actually shipping.",past
2025-11-20,,"The Best Time to Be an MBA / Consultant, INSEAD Faculty Lounge",lecture,"INSEAD Europe Campus, Fontainebleau",mixed,INSEAD,https://www.insead.edu/,"Faculty Lounge seminar at INSEAD: AI's reshaping of MBA-relevant skills and why dynamic workflows are becoming the new corporate moat.",past
2026-02-23,,"AI as an Operating Model, Cornell EMBA evening with Vishal Gaur",lecture,San Francisco,offline,Cornell Johnson Graduate School of Management,https://business.cornell.edu/johnson/,"Cornell EMBA / alumni evening with Dean Vishal Gaur. Hot takes: layoffs as enablement vs replacement, agency as the new moat, workflow design beats prompt wizardry, AI ethics as operating discipline.",past
2026-03-10,,VC-Bootcamp at Stanford GSB,panel,"Stanford GSB, 655 Knight Way",offline,VC-BootCamp,https://vc-bootcamp.com/,"Multi-panel day at Stanford GSB: ""From Gut Feel to Infrastructure: How AI Is Rewriting Venture Decision-Making"" and ""AI Tools in VC Operations: the Good, the Bad, the Ugly"".",past
2026-06-03,,"ESADE × Berkeley SCET, Lutz Finger",lecture,"Sutardja Center for Entrepreneurship and Technology, UC Berkeley",offline,UC Berkeley SCET,https://scet.berkeley.edu/,"Guest session for ESADE Executive cohort hosted at Berkeley SCET: applied AI strategy.",upcoming
